菏代ら戳	PSI	夹γ琕	珇借单	SO2	NO2	O3	CO	PM10	NO	NitroOxy	NHHC	HydraCarbon	HydraCarbon2	Temp	PH
2006/9/17				5.2	20.7	39.6	0.55	60	3	22.2	0.19	2.08	2.26	27.5	
2006/9/18				5.9	17.3	64.1	0.57	101	1.7	18.7	0.17	1.98	2.15	27.1	
2006/9/19				6.4	22	65.4	0.72	115	2.1	24.1	0.27	2.1	2.37	27.2	
2006/9/20				6.8	24	53.5	0.69	96	1.4	25.4	0.27	2.02	2.29	27	
2006/9/21				7	24.7	63	0.72	106	1.8	26.5	0.29	2.04	2.33	27.2	
2006/9/22				6.2	24.4	54.5	0.74	95	2.2	26.6	0.3	2.06	2.35	27.7	
2006/9/23				5.3	21.4	53.7	0.66	76	1.1	22.5	0.24	2.01	2.25	28	
2006/9/24				4.7	18	54.5	0.55	75	1.3	19.3	0.16	1.99	2.15	27.8	
2006/9/25				5	20.3	55.2	0.54	81	2.6	22.9	0.22	2.05	2.27	27.8	
2006/9/26				6.5	16.9	81.6	0.47	91	1	18	0.21	2.02	2.23	27.5	
2006/9/27				5.6	24.9	49.3	0.55	83	3.2	28.1	0.27	2.12	2.39	27.7	
2006/9/28				6.5	24.8	53.1	0.58	73	1.3	26.1	0.28	2.02	2.3	27.8	
2006/9/29				6.2	19.6	65.1	0.64	80	1.4	21.1	0.26	1.98	2.24	28.2	
2006/9/30				7.3	22	51.6	0.69	94	2	23.9	0.28	2.03	2.31	28.7	
2006/10/1				6.2	22	46.4	0.62	103	3.7	25.6	0.21	2.04	2.25	28.1	
2006/10/2				5.2	19.1	45.2	0.63	105	1.8	20.9	0.22	1.98	2.19	28.3	
2006/10/3				6.2	20.4	49.8	0.62	116	2.1	22.5	0.24	1.99	2.23	28	
2006/10/4		腶疊稬采		4.3	19.3	40.9	0.44	107	1.9	21.2	0.19	1.94	2.13	26.4	
2006/10/5		腶疊稬采		6.6	16.9	53.4	0.4	103	1.4	18.3	0.17	1.86	2.03	25.2	
2006/10/6		腶疊稬采		8.5	21.1	55.6	0.68	137	1.6	22.6	0.19	1.95	2.14	25.9	
2006/10/7		腶疊稬采		7.6	21.1	53.4	0.78	158	1	22.1	0.2	1.96	2.15	25.7	
2006/10/8				5.8	22.6	52.7	0.66	107	1.9	24.4	0.21	1.96	2.17	26.2	
2006/10/9				6.2	19.6	54.6	0.48	71*	1.5	21.1	0.16	1.92	2.08	26.1	
2006/10/10				6	14.7	56.8	0.45	89*	1.1	15.8	0.15	1.83	1.99	27	
2006/10/11				5.9	19.2	54.4	0.55	81	1.1	20.3	0.22	1.94	2.15	27.4	
2006/10/12				3.7	12.6	55.3	0.35	60	1.4	14	0.13	1.81	1.94	27.3	
2006/10/13				6.4	20.1	53.7	0.54	95	2.6	22.8	0.26	1.93	2.19	27.3	
2006/10/14				6.8	22.1	51.4	0.76	145	2.9	25	0.35	1.93	2.28	26.9	
2006/10/15		腶疊稬采		7.9	19.4	66.1	0.74	153	1.2	20.7	0.2	2.04	2.24	27.1	
2006/10/16				5.6	13.9	76.6	0.58	130	1.1	15	0.14	1.92	2.05	27.1	
2006/10/17				4.3	14.2	56.2	0.48	99	1.1	15.4	0.14	1.85	1.99	27.2	
2006/10/18				4.5	17.4	57.3	0.52	92*	1	18.4	0.18	1.9	2.08	26.9	
2006/10/19				5.9	18.5	54.8	0.52	55*	1.1	19.6	0.18	1.91	2.09	26.9	
2006/10/20				6.2	25.8	48.9	0.67	80	2.2	28.1	0.31	1.95	2.27	27.3	
2006/10/21		腶疊稬采		5.9	16.9	47.5	0.43	72	1.1	18	0.16	1.9	2.06	27	
2006/10/22				5.3	16.9	47.4	0.49	69	1.5	18.4	0.17	1.9	2.07	27.2	
2006/10/23				6.9	23	43.4	0.64	75	2.6	25.6	0.25	1.94	2.18	27.3	
2006/10/24				7.1	24	53.7	0.72	120	2	26.1	0.26	2.01	2.27	27.1	
2006/10/25				6.3	22.7	45	0.58	86	3.8	26.6	0.25	1.96	2.21	25.6	
2006/10/26				8.3	28.6	38	0.67	92	7	35.7	0.36	2.12	2.47	26.4	
2006/10/27				7	25.5	56.8	0.68	79	4.2	29.6	0.3	1.98	2.28	27	
2006/10/28				6.5	18.7	63.8	0.62	73	1	19.8	0.22	1.89	2.11	26.8	
2006/10/29				6.4	19.2	55.5	0.58	107	1.2	20.4	0.18	1.95	2.13	26.7	
2006/10/30		腶疊稬采		6.2	25.5	39.6	0.67	128	3.1	28.6	0.25	1.98	2.23	26.1	
2006/10/31				5	26.7	29.7	0.58	93	2.8	29.6	0.27	1.9	2.17	24.3	
2006/11/1		腶疊稬采		4.2	24.5	20.2	0.55	75	3	27.4	0.27	1.88	2.14	22.9	
2006/11/2		腶疊稬采		4.4	22.9	24.3	0.44	74	2.4	25.3	0.21	1.82	2.03	22.8	
2006/11/3				4	21.3	23.1	0.44	37	2.7	24	0.21	1.81	2.02	22.9	
2006/11/4				4.2	22.3	41.5	0.53	52	2.8	25	0.23	1.83	2.06	23.8	
2006/11/5				6.4	21.9	49	0.62	82	4	25.9	0.24	1.94	2.18	25.2	
2006/11/6				6.3	21.9	41.4	0.56	89	3.9	25.9	0.23	1.88	2.11	25.3	
2006/11/7				7.7	28.5	47.2	0.68	118	6.8	35.3	0.37	1.95	2.32	24	
2006/11/8				7.7	27.2	56	0.72	107	2	29.2	0.28	1.87	2.15	24.2	
2006/11/9				7.9	28.3	63.5	0.79	122	2	30.3	0.35	1.96	2.31	24.4	
2006/11/10				7.8	25.5	65.5	0.69	114	1.2	26.7	0.28	1.92	2.2	24.4	
2006/11/11		腶疊稬采		9.2	26.9	56.3	0.83	197	1.6	28.5	0.28	1.97	2.25	24.5	
2006/11/12		腶疊稬采		8.3	26.5	60.9	0.81	169	1.4	27.9	0.21	1.93	2.14	23.6	
2006/11/13		腶疊稬采		5	23.1	47.3	0.75	111	0.9	24.1	0.3	1.86	2.16	24.2	
2006/11/14		腶疊稬采		6.6	32.1	21.9	0.69	98	3.3	35.4	0.32	1.93	2.25	23.5	
2006/11/15				5.8	25.5	21.3	0.7	136*	3.6	29.1	0.27	1.88	2.15	22.4	
2006/11/16				4.2	23.1	27.4	0.56	57*	3.5	26.6	0.22	1.85	2.07	24.3	
2006/11/17				4.7	28.3	42.3	0.79	71	4.9	33.3	0.4	2.01	2.41	25.2	
2006/11/18				5.8	25.5	45.8	0.75	78*	2.8	28.3	0.29	1.98	2.26	26.3	
2006/11/19				5.6	21.9	32.2	0.68	*	5.5	27.5	0.22	1.99	2.21	26.1	
2006/11/20				7.1	27.1	35.9	0.87	97*	6.6	33.7	0.31	2	2.31	24.9	
2006/11/21				5.2	25.7	36.6	0.76	61	5.2	30.9	0.33	1.93	2.26	25.1	
2006/11/22				4.1	19.5	34.8	0.55	39	1.8	21.3	0.23	1.8	2.03	25.3	
2006/11/23				4.1	19.7	31.8	0.52	41	2	21.7	0.22	1.87	2.08	24.7	
2006/11/24				7.7	30.3	38.5	0.93	81	7	37.3	0.4	2	2.41	24.4	
2006/11/25				7	29.4	45.5	0.82	89	7.1	36.5	0.33	1.98	2.3	24.4	
2006/11/26				6.7	19.9	31.8	0.58	64	4.3	24.2	0.2	1.89	2.09	25.4	
2006/11/27				4.6	20.5	33.7	0.55	45	3.9	24.3	0.24	1.83	2.06	25	
2006/11/28		腶疊稬采		5.8	30.6	16.3	0.8	64	7.1	37.7	0.36	1.94	2.29	23.1	
2006/11/29				5.1	23.9	33.3	0.65	52	3.7	27.6	0.3	1.85	2.15	23.5	
2006/11/30				4.5	21.4	30.2	0.64	67	3.3	24.7	0.23	1.87	2.09	22.4	
2006/12/1				4.2	20.7	32	0.61	69	3.9	24.7	0.2	1.87	2.06	21.7	
2006/12/2		腶疊稬采		5.3	23.1	31.9	0.66	92	3.9	26.9	0.2	1.92	2.11	21.1	
2006/12/3		腶疊稬采		5.1	24.5	24.4	0.63	76	3.8	28.3	0.17	1.94	2.11	19.4	
2006/12/4				4.6	24.8	28.8	0.56	65	4.5	29.3	0.2	1.92	2.12	20.8	
2006/12/5		腶疊稬采		5.9	27.6	27.3	0.62	86	7.5	35.1	0.31	1.97	2.28	21.8	
2006/12/6				5.7	28.5	32.6	0.67	64	7	35.5	0.3	1.96	2.26	22	
2006/12/7				6.8	33.6	34.8	0.94	100	10.8	44.4	0.47	2.04	2.51	23.2	
2006/12/8				5.2	33.2	46	0.98	144	4.2	37.4	0.43	2.04	2.46	23.4	
2006/12/9		腶疊稬采		5.3	24.7	31.4	0.8	119	6.4	31.1	0.26	1.99	2.25	22.3	
2006/12/10		腶疊稬采		4.9	18.3	25.9	0.65	70	2.9	21.3	0.14	1.93	2.07	20.3	
2006/12/11		腶疊稬采		5.2	25.1	28.8	0.86	86	7.5	32.6	0.27	1.97	2.24	21.1	
2006/12/12		腶疊稬采		4.3	19	31.5	0.64	81	2.1	21.1	0.2	1.88	2.08	22.7	
2006/12/13		腶疊稬采		4.2	21.4	22.6	0.67	85	3	24.4	0.28	1.82	2.09	23.6	
2006/12/14		腶疊稬采		3.6	23.2	15.2	0.6	56	7.1	30.3	0.26	1.9	2.16	20.9	
2006/12/15		腶疊稬采		4.4	25.1	12.2	0.66	37	6.3	31.3	0.27	1.9	2.17	19.9	
2006/12/16		腶疊稬采		3.5	16.4	32.1	0.55	38	1.9	18.3	0.12	1.87	1.99	16.4	
2006/12/17		腶疊稬采		6.8	16.6	37.4	0.47	100	2.3	18.8	0.11	1.87	1.98	15.4	
2006/12/18		腶疊稬采		7.5	37.5	23.4	0.95	99	11	48.6	0.4	2.01	2.41	15.8	
2006/12/19		腶疊稬采		5.4	29.2	21.9	0.65	78	8.4	37.6	0.35	2.02	2.38	18.4	
2006/12/20				5.5	22.4	26.6	0.54	53	9.2	31.6	0.26	1.93	2.19	19.3	
2006/12/21		腶疊稬采		3.5	18.7	29.8	0.41	67	1.6	20.3	0.18	1.84	2.01	18.8	
2006/12/22		腶疊稬采		5.9	26.5	29.6	0.56	109	3.4	29.9	0.25	1.89	2.13	18.2	
2006/12/23		腶疊稬采		7.9	39.4	35.7	1.07	114	18.4	57.8	0.54	2.06	2.6	19.1	
2006/12/24		腶疊稬采		4.5	28	36.5	0.79	104	7.2	35.2	0.34	2.01	2.35	19.7	
2006/12/25		腶疊稬采		5.3	22	31.2	0.55	89	2.3	24.3	0.17	1.86	2.03	18.1	
2006/12/26		腶疊稬采		4.9	21.4	31	0.57	76	4.5	25.9	0.22	1.89	2.1	17.9	
2006/12/27		腶疊稬采		5.9	28.8	32.6	0.66	94	5.8	34.5	0.35	1.89	2.24	18.8	
2006/12/28		腶疊稬采		6.5	24.9	22.4	0.61	120	4	28.9	0.23	1.88	2.11	17.4	
2006/12/29		腶疊稬采		4.8	20.1	31.5	0.67	99	6	26.1	0.25	1.87	2.11	16.4	
2006/12/30		腶疊稬采		8.4	45.5	13.9	1.2	118	21.2	66.7	0.61	2.07	2.67	17.6	
2006/12/31		腶疊稬采		5.6	30.1	16.1	0.75	97	9.3	39.4	0.33	2.01	2.35	18.7	
